ADH4	166160	760	1	1243
ADH5	192327	549	11	1158
ADH6	167884	786	-3	1126
ADH7	332944	854	12	1236
ADHFE1	259302	268	12	1423
ADI1	254699	390	16	868
ADIG	525955	539	39	645
ADIPOQ	449980	384	25	732
ADIPOR1	421206	389	30	1125
ADIPOR2	259057	403	29	1158
ADK	622159	598	40	1100
ADM	860704	273	12	600
ADM2	1075525	207	42	946
ADNP	386595	367	36	3306
ADNP2	477656	572	4	3546
ADO	176901	852	32	810
ADORA1	469029	453	37	1012
ADORA2A	611616	186	54	1236
ADORA2B	931951	350	-33	996
ADORA3	374092	330	27	1788
ADPGK	1106545	526	43	1570
ADPRH	289679	595	40	1071
ADPRHL1	808201	223	49	1062
ADPRHL2	853740	282	27	1089
ADRA1A	259233	692	3	2198
ADRA1B	206270	458	31	1560
ADRA1D	805921	428	14	1716
ADRA2A	285613	547	-1	1395
ADRA2B	792336	366	41	1341
ADRA2C	326572	592	36	1498
ADRB1	272214	502	25	1431
ADRB2	298390	408	22	1239
ADRB3	672861	356	25	1224
ADRBK1	1369264	177	44	2196
ADRBK2	149272	580	-13	2064
ADRM1	990360	252	9	1221
ADSL	445026	427	47	1539
ADSS	710088	534	2	1368
ADSSL1	681504	208	29	1725
AEBP1	1151124	282	56	3743
AEBP2	152349	339	-21	1749
AEN	393645	605	14	1050
AES	1092464	195	30	898
AFAP1	166375	260	38	2442
AFAP1L1	386336	380	25	2304
AFAP1L2	303560	299	6	2667
AFF1	270752	518	48	3782
AFF2	97330	443	-13	3985
AFF3	353071	868	12	4162
AFF4	686574	200	66	3552
AFG3L2	492344	214	26	2391
AFM	331900	594	3	1797
AFMID	605209	191	26	1230
AFP	331900	594	3	1908
AFTPH	532219	332	21	2811
AGA	44980	837	-8	1038
AGAP1	134111	614	3	3868
AGAP2	1160849	344	39	4000
AGAP3	616572	337	39	3860
AGAP4	136259	443	34	2058
AGAP7	658491	443	20	1989
AGAP8	658491	443	20	2058
AGBL1	5624	980	-56	3223
AGBL2	984490	155	23	2936
AGBL4	16483	1041	-18	1627
AGBL5	1257014	290	34	2886
AGER	2119974	392	28	1484
AGFG1	194117	353	23	1833
AGFG2	1651125	242	60	1476
AGGF1	261159	333	30	2352
AGK	227799	887	16	1324
AGL	289704	595	9	4661
AGMAT	656850	162	31	1056
AGPAT1	2119974	392	28	849
AGPAT2	1918290	190	56	834
AGPAT3	842264	294	67	1128
AGPAT4	74993	874	-5	1497
AGPAT5	130932	475	32	1275
AGPAT6	365713	496	30	1373
AGPAT9	186399	436	21	1302
AGPHD1	506023	375	39	1175
AGPS	378489	434	26	1974
AGR2	361606	385	-7	671
AGR3	360434	376	-15	580
AGRN	1971475	239	15	6204
AGRP	1082466	153	49	396
AGT	422372	568	6	1455
AGTPBP1	227838	613	9	3866
AGTR1	271257	825	-24	1077
AGTR2	224760	443	7	1089
AGTRAP	606580	187	36	831
AGXT	1187158	297	30	1176
AGXT2	243997	675	23	1542
AGXT2L1	104349	499	21	1503
AGXT2L2	672705	448	46	1627
AHCTF1	422581	405	4	6923
AHCY	962066	151	50	1296
AHCYL1	660515	373	29	1590
AHCYL2	776656	420	44	2074
AHDC1	738004	217	25	4809
AHI1	152087	422	29	3828
AHNAK	2746294	204	49	17821
AHNAK2	854493	205	30	17385
AHR	370010	410	2	2544
AHRR	808969	399	34	2277
AHSA1	504548	359	47	1272
AHSA2	704383	371	36	438
AHSG	508316	436	45	1104
AHSP	826452	688	-17	306
AICDA	291883	422	15	600
AIDA	222206	392	1	956
AIF1	2517285	220	35	508
AIF1L	829407	293	36	667
AIFM1	379257	443	58	1975
AIFM2	484729	425	25	1119
AIFM3	577297	192	58	1907
AIG1	298429	699	13	782
AIM1	220264	271	41	5247
AIM1L	1021101	217	22	4247
AIM2	97976	866	8	1029
AIMP1	158895	711	5	1008
AIMP2	658491	443	20	969
AIP	1392213	215	53	1214
AIPL1	249769	359	6	1406
AIRE	1153513	308	65	1923
AJAP1	5695	921	4	1233
AK1	1278941	201	51	726
AK2	807536	233	27	815
AK3	231882	608	30	681
AK5	484699	536	-8	1686
AK7	328475	560	14	2270
AKAP1	413131	258	-6	2811
AKAP10	545359	348	-11	2042
AKAP11	183147	411	51	5703
AKAP12	340429	383	11	5375
AKAP13	230754	454	17	8715
AKAP14	772178	443	38	600
AKAP2	658491	443	20	543
AKAP3	277828	874	18	2559
AKAP4	56301	443	5	2562
AKAP5	670466	221	54	1281
AKAP6	127586	715	-10	7287
AKAP7	165730	682	15	1377
AKAP8	494792	481	28	2096
AKAP8L	509601	481	30	2243
AKAP9	674222	611	16	12053
AKD1	345757	686	21	6113
AKIRIN1	681587	318	30	576
AKIRIN2	235638	346	33	609
AKNA	218424	360	14	4405
AKNAD1	801073	236	8	2779
AKR1A1	873800	161	27	975
